BeerID;Name;URL;Style;StyleID;Size(L);OG;FG;ABV;IBU;Color;BoilSize;BoilTime;BoilGravity;Efficiency;MashThickness;SugarScale;BrewMethod;PitchRate;PrimaryTemp;PrimingMethod;PrimingAmount;UserId
1;Vanilla Cream Ale;/homebrew/recipe/view/1633/vanilla-cream-ale;Cream Ale;45;21.77;1.055;1.013;5.48;17.65;4.83;28.39;75;1.038;70;N/A;Specific Gravity;All Grain;N/A;17.78;corn sugar;4.5 oz;116
2;Southern Tier Pumking clone;/homebrew/recipe/view/16367/southern-tier-pumking-clone;Holiday/Winter Special Spiced Beer;85;20.82;1.083;1.021;8.16;60.65;15.64;24.61;60;01.7;70;N/A;Specific Gravity;All Grain;N/A;N/A;N/A;N/A;955
3;Zombie Dust Clone - EXTRACT;/homebrew/recipe/view/5920/zombie-dust-clone-extract;American IPA;7;18.93;1.063;1.018;5.91;59.25;8.98;22.71;60;N/A;70;N/A;Specific Gravity;extract;N/A;N/A;N/A;N/A;
4;Zombie Dust Clone - ALL GRAIN;/homebrew/recipe/view/5916/zombie-dust-clone-all-grain;American IPA;7;22.71;1.061;1.017;05.8;54.48;08.5;26.5;60;N/A;70;N/A;Specific Gravity;All Grain;N/A;N/A;N/A;N/A;
5;Bakke Brygg Belgisk Blonde 50 l;/homebrew/recipe/view/89534/bakke-brygg-belgisk-blonde-50-l;Belgian Blond Ale;20;50;01.6;01.1;6.48;17.84;4.57;60;90;01.5;72;N/A;Specific Gravity;All Grain;N/A;19;Sukkerlake;6-7 g sukker/l;18325
6;Sierra Nevada Pale Ale Clone;/homebrew/recipe/view/28546/sierra-nevada-pale-ale-clone;American Pale Ale;10;24.61;1.055;1.013;5.58;40.12;8;29.34;70;1.047;79;N/A;Specific Gravity;All Grain;1;N/A;N/A;N/A;5889
7;Russian River Pliny the Elder (original);/homebrew/recipe/view/37534/russian-river-pliny-the-elder-original-;Imperial IPA;86;22.71;1.072;1.018;07.9;268.71;6.33;30.28;90;N/A;75;N/A;Specific Gravity;All Grain;N/A;N/A;N/A;N/A;1051
8;Spotted Clown (New Glarus Spotted Cow clone);/homebrew/recipe/view/672/spotted-clown-new-glarus-spotted-cow-clone-;Cream Ale;45;20.82;1.054;1.014;5.36;19.97;5.94;28.39;75;01.4;70;01.4;Specific Gravity;All Grain;N/A;N/A;corn sugar;4.2 oz;116
9;Chocolate Vanilla Porter;/homebrew/recipe/view/29265/chocolate-vanilla-porter;Robust Porter;129;22.71;01.6;1.016;5.77;31.63;34.76;30.28;75;1.042;73;N/A;Specific Gravity;All Grain;N/A;N/A;corn sugar;4 oz;116
10;Mango Habanero IPA;/homebrew/recipe/view/61082/mango-habanero-ipa;Imperial IPA;86;20.82;01.8;1.017;8.22;93.02;8.29;28.39;60;1.058;70;N/A;Specific Gravity;All Grain;N/A;21.11;Corn Sugar;4.6 oz / .66 C;
11;Bakke Brygg HveteIPA 25 L;/homebrew/recipe/view/73890/bakke-brygg-hveteipa-25-l;American IPA;7;25;1.064;1.014;6.63;64.26;7.78;29;90;1.055;74;N/A;Specific Gravity;All Grain;1;18;Sukkerlake;6 5 g sukker/L;18325
12;Hop Notch Clone;/homebrew/recipe/view/10092/hop-notch-clone;American IPA;7;15.14;1.066;1.015;6.62;111;14.26;11.36;90;N/A;70;N/A;Specific Gravity;BIAB;N/A;N/A;N/A;N/A;
13;Racer 5 IPA Clone;/homebrew/recipe/view/23246/racer-5-ipa-clone;American IPA;7;20.82;1.073;1.019;07.7;69.72;6.28;28.39;60;N/A;70;N/A;Specific Gravity;All Grain;N/A;N/A;N/A;N/A;
14;Sam Adams Rebel IPA Clone;/homebrew/recipe/view/106996/sam-adams-rebel-ipa-clone;American IPA;7;18.93;1.066;1.017;6.51;60.96;10.54;11.36;60;01.11;30;N/A;Specific Gravity;extract;0.35;18.33;N/A;N/A;23595
15;White IPA;/homebrew/recipe/view/8361/white-ipa;American IPA;7;37.85;1.064;1.017;06.2;64.67;3.91;34.07;60;1.071;70;01.2;Specific Gravity;All Grain;N/A;N/A;N/A;N/A;
16;Pilsner Urquell BYO clone;/homebrew/recipe/view/3000/pilsner-urquell-byo-clone;Bohemian Pilsener;31;41.64;1.051;1.013;4.92;36.8;3.61;49.21;60;N/A;75;N/A;Specific Gravity;All Grain;N/A;N/A;N/A;N/A;
17;Tank 7 Clone;/homebrew/recipe/view/23436/tank-7-clone;Saison;134;20.82;1.073;1.015;7.63;44.94;6.25;28.39;60;1.054;70;N/A;Specific Gravity;BIAB;N/A;N/A;Corn Sugar;4oz;5100
18;Bells two hearted clone;/homebrew/recipe/view/3837/bells-two-hearted-clone;American IPA;7;20.82;1.073;1.018;7.14;61.83;08.1;24.61;60;1.061;75;N/A;Specific Gravity;All Grain;0.75;18.33;N/A;N/A;955
19;New Glarus Fat Squirrel Clone;/homebrew/recipe/view/1435/new-glarus-fat-squirrel-clone;Northern English Brown;113;20.82;1.046;01.1;4.61;13.64;12.56;28.39;90;1.033;70;N/A;Specific Gravity;All Grain;N/A;16.67;Priming Sugar;Std (5 Oz.);
20;Avg. Perfect Northeast IPA (NEIPA);/homebrew/recipe/view/363082/avg-perfect-northeast-ipa-neipa-;American IPA;7;21.77;1.062;1.013;06.5;53.3;05.2;28.39;60;1.048;70;1.25;Specific Gravity;All Grain;N/A;N/A;Keg - Force Carb.;N/A;
21;Goose Island IPA Clone;/homebrew/recipe/view/28343/goose-island-ipa-clone;English IPA;65;20.82;1.065;1.015;6.63;55.52;9.47;28.39;60;1.048;75;01.5;Specific Gravity;All Grain;N/A;17.78;N/A;N/A;5889
22;Ballast Point Sculpin Ale Clone;/homebrew/recipe/view/89253/ballast-point-sculpin-ale-clone;Imperial IPA;86;45.42;1.084;01.2;8.43;79.28;6.26;51.1;60;1.075;90;1.25;Specific Gravity;All Grain;1;20.56;N/A;N/A;20984
23;Brooklyn Sorachi Ace;/homebrew/recipe/view/190892/brooklyn-sorachi-ace;Saison;134;18.93;1.082;1.013;09.1;0;04.1;21.58;60;N/A;72;N/A;Specific Gravity;All Grain;N/A;N/A;N/A;N/A;
24;Lagunitas IPA Clone;/homebrew/recipe/view/28344/lagunitas-ipa-clone;English IPA;65;20.82;1.061;1.014;6.17;56.65;5.85;28.39;60;1.045;75;N/A;Specific Gravity;All Grain;N/A;N/A;N/A;N/A;5889
25;NEIPA Hoppy ( juicy) -  Braumeister 20L;/homebrew/recipe/view/295897/neipa-hoppy-juicy-braumeister-20l;American IPA;7;21;1.062;1.014;6.29;53.57;5.21;25;70;1.052;73;N/A;Specific Gravity;BIAB;0.75;20;N/A;N/A;54364
26;Dale's Pale Ale Clone;/homebrew/recipe/view/190430/dale-s-pale-ale-clone;American Pale Ale;10;18.93;1.067;1.017;06.6;0;11.69;18.93;60;N/A;75;N/A;Specific Gravity;All Grain;N/A;N/A;N/A;N/A;
27;IPA - Tired Hands Milkshake;/homebrew/recipe/view/392896/ipa-tired-hands-milkshake;American IPA;7;24.61;1.058;1.017;5.34;57.84;3.98;28.39;60;01.5;83;N/A;Specific Gravity;BIAB;0.5;18.33;N/A;N/A;16332
